2020-08-06 at 15:13:09 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_qianlong_raw', 'start_time': '1595899013', 'spider_name': 'caijing_qianlong_jingji', 'end_time': '1595899021'}  消息处理总量:13条
2020-08-06 at 15:13:14 | SUCCESS | 消息内容:{'start_time': '1595899079', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1595899080', 'spider_name': 'caijing_eastmoney_ccjxw'}  消息处理总量:2条
2020-08-06 at 15:13:14 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_csi_raw', 'start_time': '1595899056', 'spider_name': 'caijing_csi_yeneizixun_all', 'end_time': '1595899056'}  消息处理总量:1条
2020-08-06 at 15:13:18 | SUCCESS | 消息内容:{'start_time': '1595899045', 'spider_name': 'caijing_eastmoney_stock_all', 'end_time': '1595899055', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:5条
2020-08-06 at 15:13:20 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_leju_raw', 'start_time': '1595899075', 'spider_name': 'caijing_leju_lejucaijing_all', 'end_time': '1595899097'}  消息处理总量:3条
2020-08-06 at 15:13:25 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_ofweek_raw', 'start_time': '1595899183', 'spider_name': 'hangye_ofweek_chanye', 'end_time': '1595899183'}  消息处理总量:1条
2020-08-06 at 15:13:29 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_yicai_raw', 'start_time': '1595899175', 'spider_name': 'caijing_yicai_dz', 'end_time': '1595899175'}  消息处理总量:1条
2020-08-06 at 15:13:30 | SUCCESS | 消息内容:{'start_time': '1595899104', 'collection_name': 'sy_news_finance_nbd_raw', 'end_time': '1595899110', 'spider_name': 'caijing_nbd_auto_all'}  消息处理总量:5条
2020-08-06 at 15:13:31 | SUCCESS | 消息内容:{'start_time': '1595899145', 'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1595899146', 'spider_name': 'caijing_jrj_chanjing'}  消息处理总量:4条
2020-08-06 at 15:13:35 | SUCCESS | 消息内容:{'end_time': '1595899192', 'spider_name': 'caijing_qq_chanye', 'start_time': '1595899192', 'collection_name': 'sy_news_finance_qq_raw'}  消息处理总量:1条
